name;mass;orbital_period
HIP 67522 b;5.0;6.959503
HIP 75056 b;25.0;47500.0
HIP 75458 b;16.4;510.855
HIP 75458 c;17.0;24840.0
HIP 97166 b;0.063;10.28891
HR 8799 e;9.6;18000.0
HW Vir (AB) b;39.0;9750.0
HW Vir (AB) c;40.0;17000.0
K0I-1783 c;0.0472;284.060953
K2-10 b;0.08495;19.3044
K2-105 b;0.094;8.267704
K2-107 b;0.84;3.313959
K2-108 b;0.187;4.733999
K2-110 b;0.0525;13.86387
K2-111 b;0.01664;5.3518
K2-113 b;1.28;5.817685
K2-114 b;1.85;11.391013
K2-124 b;0.033;6.413651
K2-132 b;0.49;9.1751
K2-133 b;0.0069;3.07133
K2-133 c;0.01;4.86784
K2-133 d;0.026;11.02454
K2-137 b;0.5;0.179715
K2-138 b;0.0098;2.35322
K2-138 c;0.0198;3.55987
K2-138 d;0.0249;5.40478
K2-138 e;0.0409;8.26144
K2-138 f;0.005;12.75759
K2-138 g;0.0135;41.96797
K2-139 b;0.381;28.380619
K2-140 b;0.93;6.56918
K2-141 b;0.01598;0.2803244
K2-141 c;0.02328;7.7485
K2-146 b;0.01816;2.6446
K2-146 c;0.02358;4.00498
K2-155 b;0.0148;6.342
K2-155 c;0.0205;13.85
K2-155 d;0.0154;40.718
K2-174 b;0.0289;19.562307
K2-18 b;0.02807;32.939623
K2-180 b;0.036;8.867209
K2-182 b;0.063;4.7369683
K2-19 b;0.1019;7.9194
K2-19 c;0.034;11.90715
K2-19 d;0.031;2.50856
K2-199 b;0.0217;3.2253993
K2-199 c;0.039;7.3744897
K2-216 b;0.02517;2.1748
K2-22 b;1.4;0.381078
K2-222 b;0.025;15.3885
K2-229 b;0.00815;0.58426
K2-229 c;0.067;8.32727
K2-229 d;0.079;31.0
K2-231 b;0.0227;13.841901
K2-232 b;0.398;11.168454
K2-233 b;0.0104;2.46746
K2-233 d;0.0261;24.3662
K2-237 b;1.236;2.1805577
K2-238 b;0.86;3.20466
K2-239 b;0.0044;5.24
K2-239 c;0.0028;7.775
K2-239 d;0.0041;10.115
K2-24 b;0.05978;20.88977
K2-24 c;0.04845;42.3391
K2-240 b;0.0157;6.034
K2-240 c;0.0145;20.523
K2-25 b;0.0771;3.484552
K2-260 b;1.42;2.6266657
K2-261 b;0.223;11.63344
K2-263 b;0.0466;50.818947
K2-265 b;0.02058;2.369172
