# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
Kepler-1606 b;;196.435224;2016;0.185;;880.0;5422.0;Primary Transit;Kepler-1606
Kepler-1607 b;;13.6473676;2016;0.082;;735.0;6116.0;Primary Transit;Kepler-1607
Kepler-1608 b;;16.4735686;2016;0.154;;832.0;4992.0;Primary Transit;Kepler-1608
Kepler-1609 b;;114.34219;2016;0.198;;1483.0;6132.0;Primary Transit;Kepler-1609
Kepler-161 b;;4.921355;2014;0.189;0.054;440.15;5078.0;Primary Transit;Kepler-161
Kepler-161 c;;7.06424;2014;0.183;0.068;440.15;5078.0;Primary Transit;Kepler-161
Kepler-1610 b;;8.70181574;2016;0.144;;1063.0;5383.0;Primary Transit;Kepler-1610
Kepler-1611 b;;5.1762429;2016;0.072;;686.0;5605.0;Primary Transit;Kepler-1611
Kepler-1612 b;;3.91795101;2016;0.092;;837.0;5643.0;Primary Transit;Kepler-1612
Kepler-1613 b;;1.5184299;2016;0.186;;855.0;6005.0;Primary Transit;Kepler-1613
Kepler-1614 b;;3.9466141;2016;0.133;;982.0;5121.0;Primary Transit;Kepler-1614
Kepler-1615 b;;47.3126192;2016;0.184;;940.0;5865.0;Primary Transit;Kepler-1615
Kepler-1616 b;;6.76284377;2016;0.091;;862.0;6266.0;Primary Transit;Kepler-1616
Kepler-1617 b;;27.4785572;2016;0.107;;813.0;6167.0;Primary Transit;Kepler-1617
Kepler-1618 b;;6.10826019;2016;0.112;;1238.0;6620.0;Primary Transit;Kepler-1618
Kepler-1619 b;;23.6225913;2016;0.068;;520.0;5852.0;Primary Transit;Kepler-1619
Kepler-162 b;;6.919798;2014;0.112;0.069;877.01;5816.0;Primary Transit;Kepler-162
Kepler-162 c;;19.446355;2014;0.27;0.137;877.01;5816.0;Primary Transit;Kepler-162
Kepler-1620 b;;101.951829;2016;0.144;;773.0;6157.0;Primary Transit;Kepler-1620
Kepler-1621 b;;92.263714;2016;0.193;;1461.0;6158.0;Primary Transit;Kepler-1621
Kepler-1622 b;;10.8118737;2016;0.131;;927.0;6436.0;Primary Transit;Kepler-1622
Kepler-1623 b;;4.36128348;2016;0.117;;986.0;5772.0;Primary Transit;Kepler-1623
Kepler-1624 b;;3.29030452;2016;0.509;;199.0;3636.0;Primary Transit;Kepler-1624
Kepler-1625 b;11.6;287.378949;2016;0.541;;1213.0;5677.0;Primary Transit;Kepler-1625
Kepler-1626 b;;4.13962966;2016;0.18;;1718.0;6826.0;Primary Transit;Kepler-1626
Kepler-1627 b;;7.20283653;2016;0.329;;311.0;5445.0;Primary Transit;Kepler-1627
Kepler-1628 b;;76.378033;2016;0.574;;352.0;3724.0;Primary Transit;Kepler-1628
Kepler-1629 b;;3.87595807;2016;0.069;;390.0;5776.0;Primary Transit;Kepler-1629
Kepler-163 b;;7.810937;2014;0.094;0.078;703.69;5776.0;Primary Transit;Kepler-163
Kepler-163 c;;21.347262;2014;0.202;0.152;703.69;5776.0;Primary Transit;Kepler-163
Kepler-1630 b;;509.997402;2016;0.195;;278.0;4736.0;Primary Transit;Kepler-1630
Kepler-1631 b;;4.09513932;2016;0.12;;1190.0;5679.0;Primary Transit;Kepler-1631
Kepler-1632 b;;448.303558;2016;0.22;;584.0;6137.0;Primary Transit;Kepler-1632
Kepler-1633 b;;186.404271;2016;0.141;;811.0;6256.0;Primary Transit;Kepler-1633
Kepler-1634 b;;374.876239;2016;0.285;;654.0;5474.0;Primary Transit;Kepler-1634
Kepler-1635 b;;469.63111;2016;0.325;;1084.0;5347.0;Primary Transit;Kepler-1635
Kepler-1636 b;;425.47785;2016;0.288;;1567.0;5797.0;Primary Transit;Kepler-1636
Kepler-1637 b;;6.10960324;2016;0.079;;506.0;5789.0;Primary Transit;Kepler-1637
Kepler-1638 b;;259.33683;2016;0.167;;879.0;5710.0;Primary Transit;Kepler-1638
Kepler-1639 b;;9.878482;2016;0.23;;1168.0;6150.0;Primary Transit;Kepler-1639
Kepler-164 b;;5.03503;2014;0.126;0.058;914.18;5888.0;Primary Transit;Kepler-164
Kepler-164 c;;10.945723;2014;0.244;0.097;914.18;5888.0;Primary Transit;Kepler-164
Kepler-164 d;;28.986769;2014;0.219;0.187;914.18;5888.0;Primary Transit;Kepler-164
Kepler-1640 b;;7.5844126;2016;0.43;;1379.0;6324.0;Primary Transit;Kepler-1640
Kepler-1641 b;;19.672266;2016;0.277;;961.0;6152.0;Primary Transit;Kepler-1641
Kepler-1641 c;;32.657212;2016;0.263;;961.0;6152.0;Primary Transit;Kepler-1641
Kepler-1642 b;;12.2057513;2016;0.285;;447.0;5355.0;Primary Transit;Kepler-1642
Kepler-1642 c;;6.6513802;2016;0.237;;447.0;5355.0;Primary Transit;Kepler-1642
Kepler-1643 b;;5.34264507;2016;0.205;;414.0;5508.0;Primary Transit;Kepler-1643
Kepler-1644 b;;21.0907758;2016;0.168;;592.0;5499.0;Primary Transit;Kepler-1644
Kepler-1645 b;;16.1779561;2016;0.159;;844.0;5812.0;Primary Transit;Kepler-1645
Kepler-1646 b;;4.48558383;2016;0.11;;81.0;3299.0;Primary Transit;Kepler-1646
Kepler-1647 (AB) b;1.52;1107.5923;2015;1.06;2.7205;;6210.0;Primary Transit;Kepler-1647 (AB)
Kepler-1649 b;;8.689099;2017;0.091;0.0514;92.43;3240.0;Primary Transit;Kepler-1649
Kepler-1649 c;;19.53527;2020;0.095;;92.43;3240.0;Primary Transit;Kepler-1649
Kepler-165 b;;8.180848;2014;0.207;0.072;570.07;5211.0;Primary Transit;Kepler-165
Kepler-165 c;;15.31299;2014;0.199;0.11;570.07;5211.0;Primary Transit;Kepler-165
Kepler-1650 b;;1.53818001;2017;0.086;0.0163;120.5;3410.0;Primary Transit;Kepler-1650
Kepler-1651 b;;9.87863917;2017;0.164;0.0619;69.4;3713.0;Primary Transit;Kepler-1651
Kepler-1652 b;;38.09722;2017;0.143;0.1654;252.0;3638.0;Primary Transit;Kepler-1652
Kepler-1653 b;;140.2524;2017;0.194;0.4706;755.0;4807.0;Primary Transit;Kepler-1653
Kepler-1654 b;0.5;1047.8356;2018;0.819;2.026;577.6;5597.0;Primary Transit;Kepler-1654
Kepler-1655 b;0.01573;11.8728787;2018;0.197;0.103;214.58;6148.0;Primary Transit;Kepler-1655
Kepler-1656 b;0.15291;31.578659;2018;0.448;0.197;186.88;5731.0;Primary Transit;Kepler-1656
Kepler-1658 b;5.88;3.84937278;2019;1.07;0.0544;806.07;6216.0;Primary Transit;Kepler-1658
Kepler-166 b;;7.650254;2014;0.203;0.072;614.16;5413.0;Primary Transit;Kepler-166
Kepler-166 c;;34.260281;2014;0.212;0.195;614.16;5413.0;Primary Transit;Kepler-166
Kepler-166 d;;1.55400393;2016;0.154;;614.16;5413.0;Primary Transit;Kepler-166
Kepler-1661 (AB) b;0.053;175.06;2019;;;415.5;;Primary Transit;Kepler-1661 (AB)
Kepler-1663 b;;17.6046;2020;0.295;;341.22;3793.47;Primary Transit;Kepler-1663
Kepler-1664 b;;14.3868;2020;0.271;0.1189;;5945.95;Primary Transit;Kepler-1664
Kepler-1665 b;;11.9548;2020;0.253;0.0928;338.8;4949.25;Primary Transit;Kepler-1665
Kepler-1666 b;;25.8476;2020;0.257;0.1761;1434.42;5818.75;Primary Transit;Kepler-1666
Kepler-1666 c;;40.7157;2020;0.289;0.2383;1434.42;5818.75;Primary Transit;Kepler-1666
Kepler-1667 b;;83.5781;2020;0.266;0.386;638.35;5951.0;Primary Transit;Kepler-1667
Kepler-1668 b;;15.434;2020;0.388;0.124;1386.19;5328.33;Primary Transit;Kepler-1668
Kepler-1669 b;;9.51216;2020;0.248;0.0729;551.78;4218.09;Primary Transit;Kepler-1669
Kepler-167 b;;4.3931632;2014;0.144;0.0483;330.0;4890.0;Primary Transit;Kepler-167
Kepler-167 c;;7.406114;2014;0.138;0.0684;330.0;4890.0;Primary Transit;Kepler-167
Kepler-167 d;0.006;21.803855;2016;0.107;0.1405;330.0;4890.0;Primary Transit;Kepler-167
Kepler-167 e;4.0;1071.23228;2016;0.906;1.89;330.0;4890.0;Primary Transit;Kepler-167
Kepler-1670 b;;20.4998;2020;0.299;0.151;2198.41;5766.0;Primary Transit;Kepler-1670
Kepler-1671 b;;4.16787;2020;0.118;0.0464;360.77;5085.99;Primary Transit;Kepler-1671
Kepler-1672 b;;150.878;2020;0.265;0.5431;395.58;5899.25;Primary Transit;Kepler-1672
Kepler-1673 b;;33.7888;2020;0.262;0.2114;742.78;6220.81;Primary Transit;Kepler-1673
Kepler-1674 b;;62.5611;2020;0.286;0.3008;1042.07;5326.33;Primary Transit;Kepler-1674
Kepler-1675 b;;63.0382;2020;0.279;0.3235;663.58;5747.0;Primary Transit;Kepler-1675
Kepler-1676 b;;29.9221;2020;0.301;0.1931;;5893.0;Primary Transit;Kepler-1676
Kepler-1677 b;;22.064;2020;0.241;0.1634;751.23;5804.5;Primary Transit;Kepler-1677
Kepler-1678 b;;147.974;2020;0.295;0.5407;867.94;5421.0;Primary Transit;Kepler-1678
Kepler-1679 b;;9.75376;2020;0.185;0.0892;932.63;5358.25;Primary Transit;Kepler-1679
Kepler-168 b;;4.425391;2014;0.13;0.056;1396.0;6282.0;Primary Transit;Kepler-168
Kepler-168 c;;13.193242;2014;0.24;0.116;1396.0;6282.0;Primary Transit;Kepler-168
Kepler-1680 b;;8.77424;2020;0.121;0.0784;313.12;4975.5;Primary Transit;Kepler-1680
Kepler-1681 b;;69.8956;2020;0.228;0.2985;652.25;5173.08;Primary Transit;Kepler-1681
Kepler-1682 b;;14.8334;2020;0.258;0.1152;1197.63;5517.75;Primary Transit;Kepler-1682
Kepler-1683 b;;15.0337;2020;0.167;0.1155;748.64;5047.59;Primary Transit;Kepler-1683
Kepler-1684 b;;47.7055;2020;0.256;0.2259;633.05;4787.0;Primary Transit;Kepler-1684
Kepler-1685 b;;20.4905;2020;0.23;0.1485;1178.83;5378.58;Primary Transit;Kepler-1685
Kepler-1686 b;;9.30987;2020;0.127;0.0866;745.49;5774.33;Primary Transit;Kepler-1686
Kepler-1687 b;;5.77954;2020;0.148;0.0522;422.02;4249.0;Primary Transit;Kepler-1687
Kepler-1688 b;;5.62012;2020;0.113;0.0608;567.45;4936.24;Primary Transit;Kepler-1688
Kepler-1689 b;;8.483;2020;0.084;0.0791;296.63;5806.0;Primary Transit;Kepler-1689
Kepler-169 b;;3.250619;2014;0.101;0.04;411.34;4997.0;Primary Transit;Kepler-169
Kepler-169 c;;6.195469;2014;0.108;0.062;411.34;4997.0;Primary Transit;Kepler-169
Kepler-169 d;;8.348125;2014;0.112;0.075;411.34;4997.0;Primary Transit;Kepler-169
Kepler-169 e;;13.767102;2014;0.196;0.105;411.34;4997.0;Primary Transit;Kepler-169
Kepler-169 f;;87.090195;2014;0.23;0.359;411.34;4997.0;Primary Transit;Kepler-169
Kepler-1690 b;;234.636;2020;0.251;0.7143;718.3;5336.5;Primary Transit;Kepler-1690
Kepler-1691 b;;3.8482;2020;0.164;0.0514;1315.6;5753.0;Primary Transit;Kepler-1691
Kepler-1692 b;;5.95966;2020;0.099;0.0646;601.22;4935.73;Primary Transit;Kepler-1692
Kepler-1693 b;;12.0999;2020;0.115;0.1015;776.92;5356.0;Primary Transit;Kepler-1693
Kepler-1694 b;;3.89526;2020;0.105;0.0426;521.0;4958.0;Primary Transit;Kepler-1694
Kepler-1695 b;;4.7329;2020;0.1;0.0526;809.5;5437.0;Primary Transit;Kepler-1695
Kepler-1696 b;;65.9409;2020;0.251;0.3245;1571.34;5379.0;Primary Transit;Kepler-1696
Kepler-1697 b;;33.4969;2020;0.112;0.2008;249.56;5017.0;Primary Transit;Kepler-1697
Kepler-1698 b;;1.2107;2020;0.096;0.0199;223.78;4945.83;Primary Transit;Kepler-1698
Kepler-1699 b;;3.49082;2020;0.14;0.0417;;5214.4;Primary Transit;Kepler-1699
Kepler-17 b;2.45;1.4857108;2011;1.31;0.02591;800.0;5781.0;Primary Transit;Kepler-17
Kepler-170 b;;7.930592;2014;0.285;0.08;754.64;5679.0;Primary Transit;Kepler-170
Kepler-170 c;;16.665863;2014;0.255;0.131;754.64;5679.0;Primary Transit;Kepler-170
Kepler-1700 b;;234.239;2020;0.259;0.8017;732.73;5885.0;Primary Transit;Kepler-1700
Kepler-1701 b;;169.134;2020;0.198;0.5689;594.1;5116.26;Primary Transit;Kepler-1701
Kepler-1702 b;;18.5012;2020;0.143;0.1281;878.23;5003.75;Primary Transit;Kepler-1702
Kepler-1705 b;0.01406;9.03502;2017;0.1811;0.08;;5775.0;Primary Transit;Kepler-1705
Kepler-1705 c;0.01705;11.28;2017;0.1829;0.0416;;5775.0;Primary Transit;Kepler-1705
Kepler-171 b;;4.166972;2014;0.209;0.05;885.43;5642.0;Primary Transit;Kepler-171
Kepler-171 c;;11.463462;2014;0.228;0.098;885.43;5642.0;Primary Transit;Kepler-171
Kepler-171 d;;39.595519;2014;0.169;0.223;885.43;5642.0;Primary Transit;Kepler-171
Kepler-172 b;;2.940309;2014;0.21;0.04;848.56;5526.0;Primary Transit;Kepler-172
Kepler-172 c;;6.388996;2014;0.255;0.068;848.56;5526.0;Primary Transit;Kepler-172
Kepler-172 d;;14.627119;2014;0.201;0.118;848.56;5526.0;Primary Transit;Kepler-172
Kepler-172 e;;35.118736;2014;0.246;0.211;848.56;5526.0;Primary Transit;Kepler-172
Kepler-173 b;;4.263742;2014;0.115;0.048;853.39;6031.0;Primary Transit;Kepler-173
Kepler-173 c;;8.005777;2014;0.217;0.074;853.39;6031.0;Primary Transit;Kepler-173
Kepler-174 b;;13.98179;2014;0.175;0.1;389.07;4880.0;Primary Transit;Kepler-174
Kepler-174 c;;44.000529;2014;0.133;0.214;389.07;4880.0;Primary Transit;Kepler-174
Kepler-174 d;;247.35373;2014;0.195;0.677;389.07;4880.0;Primary Transit;Kepler-174
Kepler-175 b;;11.903515;2014;0.228;0.105;1363.39;6064.0;Primary Transit;Kepler-175
Kepler-175 c;;34.035257;2014;0.277;0.213;1363.39;6064.0;Primary Transit;Kepler-175
Kepler-176 b;;5.433074;2014;0.128;0.058;535.4;5232.0;Primary Transit;Kepler-176
Kepler-176 c;;12.759712;2014;0.232;0.102;535.4;5232.0;Primary Transit;Kepler-176
Kepler-176 d;;25.751974;2014;0.224;0.163;535.4;5232.0;Primary Transit;Kepler-176
Kepler-176 e;;51.16579;2016;0.129;;535.4;5232.0;Primary Transit;Kepler-176
Kepler-177 b;0.01837;35.8601;2013;0.312;;1497.42;5732.0;Primary Transit;Kepler-177
Kepler-177 c;0.04625;49.40926;2013;0.779;;1497.42;5732.0;Primary Transit;Kepler-177
Kepler-178 b;;9.576694;2014;0.259;0.085;731.04;5676.0;Primary Transit;Kepler-178
Kepler-178 c;;20.552802;2014;0.257;0.142;731.04;5676.0;Primary Transit;Kepler-178
Kepler-178 d;;96.678988;2014;0.352;0.397;731.04;5676.0;Primary Transit;Kepler-178
Kepler-179 b;;2.735926;2014;0.146;0.036;616.39;5302.0;Primary Transit;Kepler-179
Kepler-179 c;;6.40013;2014;0.178;0.064;616.39;5302.0;Primary Transit;Kepler-179
Kepler-18 b;0.022;3.504725;2011;0.178;0.0447;438.51;5345.0;Primary Transit;Kepler-18
Kepler-18 c;0.054;7.64159;2011;0.49;0.0752;438.51;5345.0;Primary Transit;Kepler-18
Kepler-18 d;0.052;14.85888;2011;0.623;0.1172;438.51;5345.0;Primary Transit;Kepler-18
Kepler-180 b;;13.817124;2014;0.134;0.109;709.83;5731.0;Primary Transit;Kepler-180
Kepler-180 c;;41.885775;2014;0.269;0.229;709.83;5731.0;Primary Transit;Kepler-180
Kepler-181 b;;3.137873;2014;0.113;0.04;620.09;5333.0;Primary Transit;Kepler-181
Kepler-181 c;;4.302149;2014;0.178;0.049;620.09;5333.0;Primary Transit;Kepler-181
Kepler-182 b;;9.825792;2014;0.23;0.096;1621.79;6250.0;Primary Transit;Kepler-182
Kepler-182 c;;20.684342;2014;0.306;0.157;1621.79;6250.0;Primary Transit;Kepler-182
Kepler-183 b;;5.687945;2014;0.184;0.064;1082.6;5888.0;Primary Transit;Kepler-183
Kepler-183 c;;11.637071;2014;0.203;0.103;1082.6;5888.0;Primary Transit;Kepler-183
Kepler-184 b;;10.687576;2014;0.211;0.092;621.24;5788.0;Primary Transit;Kepler-184
Kepler-184 c;;20.303005;2014;0.176;0.141;621.24;5788.0;Primary Transit;Kepler-184
Kepler-184 d;;29.022358;2014;0.222;0.179;621.24;5788.0;Primary Transit;Kepler-184
Kepler-185 b;;1.6329;2014;0.104;0.026;473.07;5208.0;Primary Transit;Kepler-185
Kepler-185 c;;20.729042;2014;0.18;0.139;473.07;5208.0;Primary Transit;Kepler-185
Kepler-186 b;;3.8867907;2014;0.095;0.0343;172.0;3755.0;Primary Transit;Kepler-186
Kepler-186 c;;7.267302;2014;0.112;0.0451;172.0;3755.0;Primary Transit;Kepler-186
Kepler-186 d;;13.342996;2014;0.125;0.0781;172.0;3755.0;Primary Transit;Kepler-186
Kepler-186 e;;22.407704;2014;0.113;0.11;172.0;3755.0;Primary Transit;Kepler-186
Kepler-186 f;;129.9441;2014;0.104;0.432;172.0;3755.0;Primary Transit;Kepler-186
Kepler-187 b;;4.938864;2014;0.126;0.059;1180.86;6105.0;Primary Transit;Kepler-187
Kepler-187 c;;10.640263;2014;0.238;0.099;1180.86;6105.0;Primary Transit;Kepler-187
Kepler-188 b;;2.061897;2014;0.15;0.032;996.09;6021.0;Primary Transit;Kepler-188
Kepler-188 c;;5.996553;2014;0.285;0.066;996.09;6021.0;Primary Transit;Kepler-188
Kepler-189 b;;10.399931;2014;0.108;0.088;601.75;5235.0;Primary Transit;Kepler-189
Kepler-189 c;;20.134866;2014;0.212;0.137;601.75;5235.0;Primary Transit;Kepler-189
Kepler-19 b;0.02643;9.28716;2011;0.198;0.085;219.95;5544.0;Primary Transit;Kepler-19
Kepler-19 c;0.04122;28.731;2011;;;219.95;5544.0;TTV;Kepler-19
Kepler-19 d;0.07079;62.95;2017;;;219.95;5544.0;Radial Velocity;Kepler-19
Kepler-190 b;;2.019999;2014;0.139;0.03;438.88;5106.0;Primary Transit;Kepler-190
Kepler-190 c;;3.763024;2014;0.13;0.045;438.88;5106.0;Primary Transit;Kepler-190
Kepler-191 b;;9.939632;2014;0.12;0.087;604.75;5282.0;Primary Transit;Kepler-191
Kepler-191 c;;17.738506;2014;0.166;0.128;604.75;5282.0;Primary Transit;Kepler-191
Kepler-191 d;;5.94504102;2016;0.203;;604.75;5282.0;Primary Transit;Kepler-191
Kepler-192 b;;9.926746;2014;0.244;0.09;664.14;5479.0;Primary Transit;Kepler-192
Kepler-192 c;;21.2234;2014;0.249;0.15;664.14;5479.0;Primary Transit;Kepler-192
Kepler-192 d;;6.47027579;2016;0.091;;664.14;5479.0;Primary Transit;Kepler-192
Kepler-193 b;;11.38848;2014;0.213;0.106;1038.87;6335.0;Primary Transit;Kepler-193
Kepler-193 c;;50.697494;2014;0.245;0.286;1038.87;6335.0;Primary Transit;Kepler-193
Kepler-194 b;;2.092281;2014;0.135;0.032;1133.48;6089.0;Primary Transit;Kepler-194
Kepler-194 c;;17.308032;2014;0.231;0.131;1133.48;6089.0;Primary Transit;Kepler-194
Kepler-194 d;;52.814973;2014;0.214;0.275;1133.48;6089.0;Primary Transit;Kepler-194
Kepler-195 b;;8.307872;2014;0.181;0.077;664.47;5329.0;Primary Transit;Kepler-195
Kepler-195 c;;34.096863;2014;0.138;0.197;664.47;5329.0;Primary Transit;Kepler-195
Kepler-196 b;;20.739886;2014;0.17;0.138;457.26;5128.0;Primary Transit;Kepler-196
Kepler-196 c;;47.427737;2014;0.2;0.24;457.26;5128.0;Primary Transit;Kepler-196
Kepler-197 b;;5.599308;2014;0.091;0.06;333.75;6004.0;Primary Transit;Kepler-197
Kepler-197 c;0.017;10.349695;2014;0.11;0.09;333.75;6004.0;Primary Transit;Kepler-197
Kepler-197 d;;15.677563;2014;0.109;0.119;333.75;6004.0;Primary Transit;Kepler-197
Kepler-197 e;;25.209715;2014;0.081;0.164;333.75;6004.0;Primary Transit;Kepler-197
Kepler-198 b;;17.790037;2014;0.252;0.131;502.52;5574.0;Primary Transit;Kepler-198
Kepler-198 c;;49.567416;2014;0.22;0.259;502.52;5574.0;Primary Transit;Kepler-198
Kepler-198 d;;1.31184443;2016;0.136;;502.52;5574.0;Primary Transit;Kepler-198
Kepler-199 b;;23.637604;2014;0.277;0.158;528.99;5644.0;Primary Transit;Kepler-199
Kepler-199 c;;67.093408;2014;0.29;0.316;528.99;5644.0;Primary Transit;Kepler-199
Kepler-20 b;0.03052;3.69611525;2011;0.167;0.0463;284.88;5495.0;Primary Transit;Kepler-20
Kepler-20 c;0.04012;10.85409089;2011;0.272;0.0949;284.88;5495.0;Primary Transit;Kepler-20
Kepler-20 d;0.03168;77.61130017;2011;0.245;0.3506;284.88;5495.0;Primary Transit;Kepler-20
Kepler-20 e;0.0097;6.09852281;2011;0.077;0.0639;284.88;5495.0;Primary Transit;Kepler-20
Kepler-20 f;0.045;19.57758478;2011;0.089;0.1396;284.88;5495.0;Primary Transit;Kepler-20
Kepler-20 g;;34.94;2016;;0.2055;284.88;5495.0;Radial Velocity;Kepler-20
Kepler-200 b;;8.594805;2014;0.19;0.08;678.93;5678.0;Primary Transit;Kepler-200
Kepler-200 c;;10.222157;2014;0.142;0.09;678.93;5678.0;Primary Transit;Kepler-200
Kepler-201 b;;25.672083;2014;0.219;0.175;648.18;6065.0;Primary Transit;Kepler-201
Kepler-201 c;;151.884058;2014;0.254;0.573;648.18;6065.0;Primary Transit;Kepler-201
Kepler-202 b;;4.069427;2014;0.145;0.045;287.48;4668.0;Primary Transit;Kepler-202
Kepler-202 c;;16.282493;2014;0.165;0.113;287.48;4668.0;Primary Transit;Kepler-202
Kepler-203 b;;3.162697;2014;0.229;0.043;717.73;5821.0;Primary Transit;Kepler-203
Kepler-203 c;;5.370647;2014;0.22;0.061;717.73;5821.0;Primary Transit;Kepler-203
Kepler-203 d;;11.32972;2014;0.128;0.1;717.73;5821.0;Primary Transit;Kepler-203
Kepler-204 b;;14.400974;2014;0.226;0.117;700.59;5812.0;Primary Transit;Kepler-204
Kepler-204 c;;25.660593;2014;0.16;0.173;700.59;5812.0;Primary Transit;Kepler-204
Kepler-205 b;;2.75564;2014;0.135;0.032;160.46;4321.0;Primary Transit;Kepler-205
Kepler-205 c;;20.306546;2014;0.146;0.122;160.46;4321.0;Primary Transit;Kepler-205
Kepler-206 b;;7.781987;2014;0.107;0.078;604.81;5764.0;Primary Transit;Kepler-206
Kepler-206 c;;13.137471;2014;0.158;0.111;604.81;5764.0;Primary Transit;Kepler-206
Kepler-206 d;;23.44281;2014;0.106;0.163;604.81;5764.0;Primary Transit;Kepler-206
Kepler-207 b;;1.611865;2014;0.14;0.029;898.2;5920.0;Primary Transit;Kepler-207
Kepler-207 c;;3.071571;2014;0.134;0.044;898.2;5920.0;Primary Transit;Kepler-207
Kepler-207 d;;5.868075;2014;0.295;0.068;898.2;5920.0;Primary Transit;Kepler-207
Kepler-208 b;;4.22864;2014;0.145;0.054;793.01;6092.0;Primary Transit;Kepler-208
Kepler-208 c;;7.466623;2014;0.124;0.079;793.01;6092.0;Primary Transit;Kepler-208
Kepler-208 d;;11.131786;2014;0.107;0.103;793.01;6092.0;Primary Transit;Kepler-208
Kepler-208 e;;16.259458;2014;0.132;0.132;793.01;6092.0;Primary Transit;Kepler-208
Kepler-209 b;;16.087845;2014;0.202;0.122;586.68;5513.0;Primary Transit;Kepler-209
Kepler-209 c;;41.749882;2014;0.277;0.231;586.68;5513.0;Primary Transit;Kepler-209
Kepler-21 b;0.01598;2.78578;2012;0.146;0.042717;108.86;6305.0;Primary Transit;Kepler-21
Kepler-210 b;;2.453234;2014;0.262;0.032;234.33;4559.0;Primary Transit;Kepler-210
Kepler-210 c;;7.972513;2014;0.323;0.07;234.33;4559.0;Primary Transit;Kepler-210
Kepler-211 b;;4.138575;2014;0.112;0.048;312.14;5123.0;Primary Transit;Kepler-211
Kepler-211 c;;6.04045;2014;0.115;0.062;312.14;5123.0;Primary Transit;Kepler-211
Kepler-212 b;;16.257582;2014;0.097;0.133;701.04;5852.0;Primary Transit;Kepler-212
Kepler-212 c;;31.805174;2014;0.244;0.207;701.04;5852.0;Primary Transit;Kepler-212
Kepler-213 b;;2.46236;2014;0.145;0.036;646.74;5696.0;Primary Transit;Kepler-213
Kepler-213 c;;4.822962;2014;0.209;0.057;646.74;5696.0;Primary Transit;Kepler-213
Kepler-214 b;;15.660544;2014;0.233;0.13;1252.07;6169.0;Primary Transit;Kepler-214
Kepler-214 c;;28.7798;2014;0.19;0.194;1252.07;6169.0;Primary Transit;Kepler-214
Kepler-215 b;;9.360672;2014;0.145;0.084;492.9;5739.0;Primary Transit;Kepler-215
Kepler-215 c;;14.667108;2014;0.158;0.113;492.9;5739.0;Primary Transit;Kepler-215
Kepler-215 d;;30.864423;2014;0.213;0.185;492.9;5739.0;Primary Transit;Kepler-215
Kepler-215 e;;68.16101;2014;0.156;0.314;492.9;5739.0;Primary Transit;Kepler-215
Kepler-216 b;;7.693641;2014;0.21;0.079;1229.44;6091.0;Primary Transit;Kepler-216
Kepler-216 c;;17.406669;2014;0.271;0.136;1229.44;6091.0;Primary Transit;Kepler-216
Kepler-217 b;;5.374943;2014;0.199;0.065;1140.95;6171.0;Primary Transit;Kepler-217
Kepler-217 c;;8.586004;2014;0.165;0.089;1140.95;6171.0;Primary Transit;Kepler-217
Kepler-217 d;;3.88689525;2016;0.118;;1140.95;6171.0;Primary Transit;Kepler-217
Kepler-218 b;;3.619337;2014;0.132;0.046;669.02;5502.0;Primary Transit;Kepler-218
Kepler-218 c;;44.699576;2014;0.28;0.248;669.02;5502.0;Primary Transit;Kepler-218
Kepler-218 d;;124.5244647;2016;0.237;;669.02;5502.0;Primary Transit;Kepler-218
Kepler-219 b;;4.585512;2014;0.263;0.057;805.3;5786.0;Primary Transit;Kepler-219
Kepler-219 c;;22.714613;2014;0.319;0.165;805.3;5786.0;Primary Transit;Kepler-219
Kepler-219 d;;47.903645;2014;0.251;0.272;805.3;5786.0;Primary Transit;Kepler-219
Kepler-22 b;0.113;289.8623;2011;0.212;0.849;190.0;5518.0;Primary Transit;Kepler-22
Kepler-220 b;;4.159807;2014;0.072;0.046;171.96;4632.0;Primary Transit;Kepler-220
Kepler-220 c;;9.034199;2014;0.14;0.076;171.96;4632.0;Primary Transit;Kepler-220
Kepler-220 d;;28.122397;2014;0.087;0.163;171.96;4632.0;Primary Transit;Kepler-220
Kepler-220 e;;45.902733;2014;0.119;0.226;171.96;4632.0;Primary Transit;Kepler-220
Kepler-221 b;;2.795906;2014;0.153;0.037;389.55;5243.0;Primary Transit;Kepler-221
Kepler-221 c;;5.690586;2014;0.261;0.059;389.55;5243.0;Primary Transit;Kepler-221
Kepler-221 d;;10.04156;2014;0.244;0.087;389.55;5243.0;Primary Transit;Kepler-221
Kepler-221 e;;18.369917;2014;0.235;0.13;389.55;5243.0;Primary Transit;Kepler-221
Kepler-222 b;;3.936981;2014;0.282;0.048;775.61;5433.0;Primary Transit;Kepler-222
Kepler-222 c;;10.08881;2014;0.414;0.091;775.61;5433.0;Primary Transit;Kepler-222
Kepler-222 d;;28.081912;2014;0.329;0.18;775.61;5433.0;Primary Transit;Kepler-222
Kepler-223 b;0.02328;7.38449;2014;0.267;0.073;1960.49;5829.0;Primary Transit;Kepler-223
Kepler-223 c;0.01605;9.84564;2014;0.307;0.088;1960.49;5829.0;Primary Transit;Kepler-223
Kepler-223 d;0.02517;14.78869;2014;0.467;0.116;1960.49;5829.0;Primary Transit;Kepler-223
