name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
HAT-P-16 b;4.193;2.77596;2010;1.289;0.0413;235.0;6158.0
HAT-P-18 b;0.183;5.508029;2010;0.947;0.0559;166.0;4870.0
HAT-P-19 b;0.292;4.008784;2010;1.132;0.0466;215.0;4990.0
HAT-P-2 b;8.74;5.6334729;2007;0.951;0.0674;118.0;6414.0
HAT-P-20 b;7.246;2.875317;2010;0.867;0.0361;70.0;4595.0
HAT-P-21 b;4.063;4.124461;2010;1.024;0.0494;254.0;5588.0
HAT-P-22 b;2.147;3.21222;2010;1.08;0.0414;82.0;5302.0
HAT-P-23 b;2.09;1.212884;2010;1.368;0.0232;393.0;5924.0
HAT-P-24 b;0.685;3.35524;2010;1.242;0.0465;306.0;6373.0
HAT-P-26 b;0.0585;4.234516;2010;0.5647;0.0479;134.0;5079.0
HAT-P-27 b;0.66;3.0395803;2011;1.055;0.0403;204.0;5300.0
HAT-P-28 b;0.626;3.257215;2011;1.212;0.0434;395.0;5680.0
HAT-P-29 b;0.778;5.723186;2011;1.107;0.0667;322.0;6087.0
HAT-P-3 b;0.591;2.899703;2007;0.827;0.03866;130.0;5224.0
HAT-P-30 b;0.711;2.810595;2011;1.34;0.0419;193.0;6250.0
HAT-P-31 b;2.171;5.005425;2011;1.07;0.055;354.0;6065.0
HAT-P-32 b;0.75;2.15000825;2011;1.789;0.03427;320.0;6001.0
HAT-P-33 b;0.763;3.474474;2011;1.827;0.0503;419.0;6401.0
HAT-P-34 b;3.328;5.452654;2012;1.107;0.0677;257.0;6509.0
HAT-P-35 b;1.054;3.646706;2012;1.332;0.0498;535.0;6096.0
HAT-P-36 b;1.832;1.327347;2012;1.264;0.0238;317.0;5580.0
HAT-P-37 b;1.169;2.797436;2012;1.178;0.0379;411.0;5500.0
HAT-P-38 b;0.267;4.640382;2012;0.825;0.0523;249.0;5330.0
HAT-P-39 b;0.599;3.54387;2012;1.571;0.0509;642.0;6430.0
HAT-P-4 b;0.68;3.0565114;2007;1.27;0.0446;310.0;5890.0
HAT-P-40 b;0.615;4.457243;2012;1.73;0.0608;501.0;6080.0
HAT-P-41 b;0.8;2.694047;2012;1.685;0.0426;344.0;6479.0
HAT-P-42 b;0.975;4.641876;2012;1.277;0.0575;447.0;5743.0
HAT-P-43 b;0.66;3.332688;2012;1.283;0.0443;543.0;5645.0
HAT-P-44 b;0.392;4.301217;2013;1.28;0.0507;374.0;5295.0
HAT-P-44 c;1.6;219.9;2013;;0.699;374.0;5295.0
HAT-P-45 b;0.892;3.128992;2013;1.426;0.0452;305.0;6330.0
HAT-P-46 b;0.493;4.463129;2013;1.284;0.0577;296.0;6120.0
HAT-P-46 c;2.0;77.7;2013;;0.387;296.0;6120.0
HAT-P-47 b;0.206;4.732182;2016;1.313;0.0615;268.0;6703.0
HAT-P-48 b;0.168;4.40865;2016;1.131;0.0543;305.0;5946.0
HAT-P-49 b;1.73;2.691548;2014;1.413;0.0438;322.0;6820.0
HAT-P-5 b;1.06;2.788491;2007;1.252;0.04079;340.0;5960.0
HAT-P-50 b;1.36;3.1220109;2015;1.288;0.0453;597.0;6280.0
HAT-P-51 b;0.309;4.2180278;2015;1.293;0.05069;470.0;5449.0
HAT-P-52 b;0.819;2.7535953;2015;1.009;0.03694;385.0;5131.0
HAT-P-53 b;1.487;1.9616241;2015;1.318;0.03159;719.0;5956.0
HAT-P-54 b;0.76;3.799847;2014;0.944;0.04117;135.8;4390.0
HAT-P-55 b;0.582;3.5852467;2015;1.182;0.04604;480.0;5808.0
HAT-P-56 b;2.31;2.79083;2015;1.51;0.0423;323.5;6566.0
HAT-P-57 b;1.85;2.465295;2015;1.413;0.0406;303.0;7500.0
HAT-P-58 b;0.372;4.013837;2020;1.332;0.04994;519.0;5931.0
HAT-P-59 b;1.54;4.1419771;2020;1.123;0.05064;267.3;5678.0
HAT-P-6 b;1.057;3.853003;2007;1.33;0.05235;200.0;6570.0
HAT-P-60 b;0.574;4.7947813;2020;1.631;0.06277;235.4;6212.0
HAT-P-61 b;1.057;1.90231289;2020;0.899;0.0301;343.2;5587.0
HAT-P-62 b;0.761;2.6453235;2020;1.073;0.03772;353.1;5629.0
HAT-P-63 b;0.614;3.377728;2020;1.119;0.04294;408.0;5400.0
HAT-P-64 b;0.58;4.007232;2020;1.703;0.05387;635.0;6457.0
HAT-P-65 b;0.527;2.6054552;2016;1.89;0.03951;841.0;5835.0
HAT-P-66 b;0.783;2.972086;2016;1.59;0.04363;927.0;6002.0
HAT-P-67 b;0.34;4.81010205;2017;2.085;0.06505;320.0;6406.0
HAT-P-68 b;0.724;2.29840551;2020;1.072;0.02996;202.0;4508.0
HAT-P-69 b;3.58;4.7869491;2019;1.676;0.06555;343.9;7724.0
HAT-P-7 b;1.741;2.204735471;2008;1.431;0.0379;320.0;6259.0
HAT-P-70 b;6.78;2.74432452;2019;1.87;0.04739;329.0;8450.0
HAT-P-8 b;1.34;3.0763402;2008;1.5;0.0449;230.0;6200.0
HAT-P-9 b;0.67;3.922814;2008;1.4;0.053;480.0;6350.0
HATS-10 b;0.526;3.312846;2015;0.969;0.0449;496.0;5880.0
HATS-11 b;0.85;3.619188;2016;1.609;0.0507;967.34;6563.0
HATS-12 b;2.38;3.142702;2016;0.692;0.0441;512.41;6357.0
HATS-13 b;0.543;3.0440499;2015;1.212;0.04057;476.0;5523.0
HATS-14 b;1.071;2.7667641;2015;1.039;0.03815;513.0;5346.0
HATS-15 b;2.17;1.74748753;2014;1.105;0.02712;689.0;5311.0
HATS-16 b;3.27;2.686502;2015;1.3;0.03744;774.0;5738.0
HATS-17 b;1.338;16.254611;2016;0.777;0.1308;339.0;5846.0
HATS-18 b;1.98;0.8378434;2016;1.337;0.01761;645.0;5600.0
HATS-19 b;0.427;4.569673;2016;1.66;0.0589;780.0;5896.0
HATS-2 b;1.345;1.354133;2013;1.168;0.023;360.0;5227.0
HATS-20 b;0.273;3.7992969;2016;0.776;0.04619;454.0;5406.0
HATS-21 b;0.332;3.5543973;2016;1.123;0.04676;286.0;5695.0
